title
Baby Shark
I'm a Little Teapot
The Itsy Bitsy Spider
You Are My Sunshine
The Hokey Pokey
Twinkle Twinkle Little Star
The Wheels on the Bus
Old MacDonald Had a Farm
Row Row Row Your Boat
If You're Happy and You Know It
Head Shoulders Knees and Toes
Five Little Monkeys
Baa Baa Black Sheep
London Bridge Is Falling Down
Mary Had a Little Lamb
This Old Man
Pop Goes the Weasel
The Alphabet Song
The Muffin Man
Ring Around the Rosie
